800 800
5
800 40 0.0 0.0
800 40 0.0 760.0
40 800 0.0 40.0
40 800 760.0 40.0
40 400 180.0 81.0
21
40 40 269.0 527.0
40 40 269.0 567.0
40 40 269.0 607.0
40 40 309.0 527.0
40 40 309.0 567.0
40 40 309.0 607.0
40 40 349.0 527.0
40 40 349.0 567.0
40 40 349.0 607.0
40 40 389.0 527.0
40 40 389.0 567.0
40 40 389.0 607.0
40 40 429.0 527.0
40 40 429.0 567.0
40 40 429.0 607.0
40 40 469.0 527.0
40 40 469.0 567.0
40 40 469.0 607.0
40 40 509.0 527.0
40 40 509.0 567.0
40 40 509.0 607.0
3
50 50 65.0 72.0
50 50 117.0 631.0
50 50 647.0 660.0

50 50 677.0 64.0
